Score,Popularity,Rank,Members,Description,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating
8.35,607,217,383,"Unlike his friends, Takumi Fujiwara is not particularly interested in cars, with little to no knowledge about the world of car enthusiasts and street racers. The son of a tofu shop owner, he is tasked to deliver tofu every morning without fail, driving along the mountain of Akina. Thus, conversations regarding cars or driving in general would only remind Takumi of the tiring daily routine forced upon him.

One night, the Akagi Red Suns, an infamous team of street racers, visit the town of Akina to challenge the local mountain pass. Led by their two aces, Ryousuke and Keisuke Takahashi, the Red Suns plan to conquer every racing course in Kanto, establishing themselves as the fastest crew in the region. However, much to their disbelief, one of their aces is overtaken by an old Toyota AE86 during a drive back home from Akina. After the incident, the Takahashi brothers are cautious of a mysterious driver geared with remarkable technique and experience in the local roads—the AE86 of Mount Akina.

[Written by MAL Rewrite]",Initial D First Stage,TV,26,Finished Airing,"Apr 19, 1998 to Dec 6, 1998",Spring 1998,Tuesdays at 00:00 (JST),"OB Planning, Fuji TV","Funimation, Tokyopop","Gallop, Studio Comet",Manga,"ActionAction, DramaDrama",SeinenSeinen,25 min. per ep.,PG-13 - Teens 13 or older
8.17,1273,414,188,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results.

The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture.

[Written by MAL Rewrite]",,TV,24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",Spring 2004,Unknown,"OB Planning, Studio Jack",Funimation,A.C.G.T.,Manga,"ActionAction, DramaDrama",SeinenSeinen,27 min. per ep.,PG-13 - Teens 13 or older
8.39,489,189,461,"In the mysterious future, crystalline organisms called Gems inhabit a world that has been destroyed by six meteors. Each Gem is assigned a role in order to fight against the Lunarians, a species who attacks them in order to shatter their bodies and use them as decorations. 

Phosphophyllite, also known as Phos, is a young and fragile Gem who dreams of helping their friends in the war effort. Instead, they are told to compile an encyclopedia because of their delicate condition. After begrudgingly embarking on this task, Phos meets Cinnabar, an intelligent gem who has been relegated to patrolling the isolated island at night because of the corrosive poison their body creates. After seeing how unhappy Cinnabar is, Phos decides to find a role that both of the rejected Gems can enjoy. Houseki no Kuni follows Phos' efforts to be useful and protect their fellow Gems.

[Written by MAL Rewrite]",Land of the Lustrous,TV,12,Finished Airing,"Oct 7, 2017 to Dec 23, 2017",Fall 2017,Saturdays at 21:30 (JST),"Mainichi Broadcasting System, Kodansha, Movic, AT-X, TOHO animation, Tokyo MX, Q-Tec, Kyoraku Industrial Holdings, BS11",Sentai Filmworks,Orange,Manga,"ActionAction, DramaDrama, FantasyFantasy, MysteryMystery",SeinenSeinen,24 min. per ep.,PG-13 - Teens 13 or older
7.9,363,790,597,"Yoshino Takigawa, an ordinary teenager, is secretly dating his best friend Mahiro Fuwa's younger sister, Aika. But when Aika mysteriously dies, Mahiro disappears, vowing to find the one responsible and make them pay for murdering his beloved sister. Yoshino continues his life as usual and has not heard from Mahiro in a month—until he is confronted by a strange girl who holds him at gunpoint, and his best friend arrives in the nick of time to save him.

Yoshino learns that Mahiro has enlisted the help of a witch named Hakaze Kusaribe to find Aika's killer. However, the witch has been banished to a deserted island due to infighting within her clan. Hakaze's brother, Samon, selfishly desires to make use of the Tree of Exodus' power, in spite of both his sister's opposition and the impending peril to the world. With Hakaze out of the picture, it is now up to Yoshino and Mahiro to help her save the world, all while inching ever closer to the truth behind Aika's death.

[Written by MAL Rewrite]",Blast of Tempest,TV,24,Finished Airing,"Oct 5, 2012 to Mar 29, 2013",Fall 2012,Fridays at 02:00 (JST),"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System, Yahoo! Japan",Aniplex of America,Bones,Manga,"ActionAction, DramaDrama, FantasyFantasy, MysteryMystery, SuspenseSuspense",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
7.92,2463,746,75,"It is Universal Century 0087, and the One Year War between the Earth Federation and Principality of Zeon is over. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have shown themselves to be no better than Zeon, spurring the creation of a rebellious faction called the Anti-Earth Union Group (AEUG).

17-year-old Kamille Bidan lives in the colony Green Noa, home to a Titan base. Kamille gets in trouble after assaulting a Titan officer, an event that coincides with an attack led by former Zeon ace Char Aznable, now known as AEUG pilot Quattro Bajeena. When Kamille steals a Titan's prototype Gundam, he soon finds himself in the middle of the dangerous conflict.

[Written by MAL Rewrite]",Mobile Suit Zeta Gundam,TV,50,Finished Airing,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,Unknown,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,"ActionAction, DramaDrama, RomanceRomance, Sci-FiSci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older
7.97,1706,687,131,"In the year 19XX, after being betrayed and left for dead, bravehearted warrior Kenshirou wanders a post-apocalyptic wasteland on a quest to track down his rival, Shin, who has kidnapped his beloved fiancée Yuria. During his journey, Kenshirou makes use of his deadly fighting form, Hokuto Shinken, to defend the helpless from bloodthirsty ravagers. It isn't long before his exploits begin to attract the attention of greater enemies, like warlords and rival martial artists, and Kenshirou finds himself involved with more than he originally bargained for.

Faced with ever-increasing odds, the successor of Hokuto Shinken is forced to put his skills to the test in an effort to take back what he cares for most. And as these new challenges present themselves and the battle against injustice intensifies, namely his conflict with Shin and the rest of the Nanto Seiken school of martial arts, Kenshirou is gradually transformed into the savior of an irradiated and violent world.

[Written by MAL Rewrite]",Fist of the North Star,TV,109,Finished Airing,"Oct 11, 1984 to Mar 5, 1987",Fall 1984,Thursdays at 19:00 (JST),Fuji TV,"Discotek Media, Manga Entertainment",Toei Animation,Manga,"ActionAction, DramaDrama, Sci-FiSci-Fi",ShounenShounen,25 min. per ep.,R+ - Mild Nudity
7.83,1250,937,190,"Brandon Heat and Harry MacDowel, two friends so close they could be called brothers, receive an abrupt and violent reminder one fateful day of how appallingly merciless the world around them can be. Their whole lives before then were simple and easygoing, consisting largely of local brawls, seducing women, and committing petty theft to make a living and pass the time. What they failed to realize is that in this cruel world, happiness is fleeting, and change is inevitable.

Enter Millennion, the largest and most infamous mafia syndicate in the area, which accepts Brandon and Harry into their ranks and starts them at the bottom of the food chain. Harry has ambitions to ascend the ranks and one day replace Big Daddy as the supreme leader of Millennion, while Brandon only wishes to support his friend and appease Big Daddy who has taken custody of the woman Brandon loves.

Based off the third-person shooter video game under the same name, Gungrave is an epic story of friendship, betrayal, and avarice that spans the course of several years, ultimately tying back to the gripping and foreboding first episode, all the while building up to the story's thrilling conclusion.

[Written by MAL Rewrite]",Gungrave,TV,26,Finished Airing,"Oct 7, 2003 to Mar 30, 2004",Fall 2003,Tuesdays at 01:30 (JST),Tohokushinsha Film Corporation,"Funimation, Geneon Entertainment USA",Madhouse,Game,"ActionAction, DramaDrama, Sci-FiSci-Fi",,25 min. per ep.,R - 17+ (violence & profanity)
8.11,1099,487,220,"In the distant future, mankind's dependence on fossil fuels will lead to their complete depletion, an energy crisis unlike anything the world witnessed. Out of retaliation and fear, humanity began focusing at an alternative source of energy: solar power. Different nations have united together to form three major factions—the Union of Solar Energy and Free Nations, the Advanced European Union, and the Human Reform League. Each of these sectors has access to a solar power generator, which gives them limitless energy.

As a result, countries that were once dependent on the sale of fossil fuels are now plunged in poverty, leading to years of warfare and internal strife over the control of solar energy. Amid this chaos, an unknown paramilitary organization appeared identifying themselves as ""Celestial Being,"" aspire to end all warfare through armed intervention by using mysterious and technologically advanced Mobile Suits known as Gundams.

Mobile Suit Gundam 00 follows the story of Celestial Being's Gundam Meisters Setsuna F. Seiei, Lockon Stratos, Allelujah Haptism, and Tieria Erde. These four dive into the devastating battle between the three superpowers to accomplish their goal of changing the world.

[Written by MAL Rewrite]",Mobile Suit Gundam 00,TV,25,Finished Airing,"Oct 6, 2007 to Mar 29, 2008",Fall 2007,Saturdays at 18:00 (JST),"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,"ActionAction, DramaDrama, Sci-FiSci-Fi",,24 min. per ep.,R - 17+ (violence & profanity)
8.08,1524,530,151,"In the year 2311 AD, a world that once saw itself full of inter-continental conflict now stands unified, led by the Earth Sphere Federation (ESF). The ESF established a preventative military task force known as the A-Laws, tasking them with shutting down violent terrorist organizations. As they gain more and more legal authority, the A-Laws begin to twist the law to fit their own agenda, ruling the citizens of Earth with a heavy hand.

In response to the fascistic behavior of the A-Laws, the anti-terrorist group Celestial Being reappears. Led by state-of-the-art mobile suits known as Gundam, the pilots of Celestial Being wage a new war with the A-Laws, aiming to stop their tyrannical abuse of power.

Setsuna F. Seiei, pilot of the Gundam Exia, helps to lead the charge along with his fellow Gundam Meisters Lockon Stratos, Allelujah Haptism, and Tieria Erde. But in the process, Setsuna stumbles upon a conspiratorial plot spearheaded by a new faction, the Innovators, and must contend with his own old wounds and ghosts of the past in order to save a world that despises him.

[Written by MAL Rewrite]
",Mobile Suit Gundam 00: Second Season,TV,25,Finished Airing,"Oct 5, 2008 to Mar 29, 2009",Fall 2008,Unknown,Mainichi Broadcasting System,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,"ActionAction, DramaDrama, Sci-FiSci-Fi",,24 min. per ep.,R - 17+ (violence & profanity)
8.06,995,550,243,"Over three hundred years have passed since the Calamity War, the great conflict between Earth and its outer space colonies. Now Earth is ruled over by four economic blocs, and the military organization Gjallarhorn is responsible for keeping the peace. Mars, on the other hand, depends heavily on Earth's economy.

Horrified by the appalling living conditions that Mars' inhabitants have to bear, Kudelia Aina Bernstein, a young aristocrat from the Chryse Autonomous Region, gets involved in the Red Planet's independence movement. She hires the services of a local company, Chryse Guard Security (CGS), to escort her on the journey to Earth to negotiate economic conditions with the earthly bloc that controls the region. The Third Army Division—consisting of Mikazuki Augus, Orga Itsuka, and many other child soldiers—are chosen to protect her.

When Gjallarhorn attacks the CGS facilities to assassinate the young revolutionary threatening their interests, Orga and his comrades must not let the attackers accomplish their goal—in fact, Gjallarhorn's actions might turn out to be the unintentional catalyst that leads the children to be the forgers of their own destiny.

[Written by MAL Rewrite]",Mobile Suit Gundam: Iron-Blooded Orphans,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,Sundays at 17:00 (JST),"Sotsu, Asatsu DK, Mainichi Broadcasting System",Funimation,Sunrise,Original,"ActionAction, DramaDrama, Sci-FiSci-Fi",,24 min. per ep.,R - 17+ (violence & profanity)
8.23,1578,332,144,"Tekkadan has now become a direct affiliate of Teiwaz after procuring a new trade agreement with Arbrau. With its newfound funds and prestige, Tekkadan finds both its list of allies and enemies growing. Meanwhile, the flames of the Gjallarhorn power struggle continue to rage in full force. As a part of her efforts to make Mars financially independent from Earth, Kudelia Aina Bernstein founds the Admoss Company and enlists Tekkadan as her business partner. 

The stakes are getting higher as the Tekkadan family continues to grow. Will Orga, Mikazuki, and the rest of the Tekkadan faction be able to keep up, or will Kudelia's dream of Martian independence die out?

[Written by MAL Rewrite]",Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,Finished Airing,"Oct 2, 2016 to Apr 2, 2017",Fall 2016,Sundays at 17:00 (JST),"Sotsu, Asatsu DK, Mainichi Broadcasting System",Funimation,Sunrise,Original,"ActionAction, DramaDrama, Sci-FiSci-Fi",,24 min. per ep.,R - 17+ (violence & profanity)
8.7,447,55,497,"The disappearance of the Spearhead Squadron beyond the horizon does little to hide the intensity of the Republic of San Magnolia's endless propaganda. Vladilena Milizé continues to operate as ""Handler One,"" the commander of yet another dehumanized 86th faction's squadron in the continuous war against the Legion.

On the Western Front, Shinei Nouzen and his squad are quarantined in a military base controlled by the Federal Republic of Giad, formerly known as the Giadian Empire. The newly-established government grants the saved Eighty-Six full citizenship and freedom. Housed by the president Ernst Zimmerman himself, the group meets his adoptive daughter and the last Empress, Augusta Frederica Adel-Adler.

However, within the calm of this tender society, Shinei and his team feel that their purpose is on the battlefield. Before long, they are once again in the midst of the Legion's onslaught as a part of the Federacy's Nordlicht Squadron, accompanied by Augusta Frederica. But, as history repeats itself, they realize that no matter the side, death and pain on the front lines are the only comfort they know.

[Written by MAL Rewrite]",86 Eighty-Six Part 2,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",Fall 2021,Sundays at 00:00 (JST),"Aniplex, Kadokawa, Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"ActionAction, DramaDrama, Sci-FiSci-Fi",,23 min. per ep.,R - 17+ (violence & profanity)
7.88,2784,844,62,"When humanity realized that the Earth, or Terra, had been polluted beyond fixing, the planet's governments united under a unique authoritarian system named Superior Domination (SD) and started to colonize space. Centuries later, mankind has given up its freedom in favor of the AI Grand Mother; when someone reaches the age of 14, their memories are wiped and they are automatically assigned a new role in society.

Jomy Marquis Shin, a sensitive young man raised by loving parents, is saved from this grim fate by Soldier Blue, the current leader of the Mu race—a new species of human beings blessed with psychic abilities. However, in the eyes of SD, the existence of people like Jomy threatens the new paradigm of humanity. Hunted down by the hounds of the government, Jomy finds solace in the welcoming arms of the Mu, who hide aboard the spaceship Shangri-La.

Now the leader of the Mu resistance years later, Jomy embarks on a journey toward Terra to escape from SD's manhunt led by Keith Anyan, an ambitious and ruthless rising star of humanity. Will Jomy and his people manage to reach the cradle of humanity before Keith destroys their last hope?

[Written by MAL Rewrite]
",,TV,24,Finished Airing,"Apr 7, 2007 to Sep 22, 2007",Spring 2007,Saturdays at 18:00 (JST),"Aniplex, Mainichi Broadcasting System, SKY Perfect Well Think",Bandai Entertainment,"Tokyo Kids, Minami Machi Bugyousho",Manga,"ActionAction, DramaDrama, Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
8.3,248,261,773,"According to the Republic of San Magnolia, their ongoing war against the Giadian Empire has no casualties—however, that is mere propaganda. While the silver-haired Alba of the Republic's eighty-five sectors live safely behind protective walls, those of different appearances are interned in a secret eighty-sixth faction. Known within the military as the Eighty-Six, they are forced to fight against the Empire's autonomous Legion under the command of the Republican ""Handlers.""

Vladilena Milizé is assigned to the Spearhead squadron to replace their previous Handler. Shunned by her peers for being a fellow Eighty-Six supporter, she continues to fight against their inhumane discrimination. Shinei Nouzen is the captain of the Spearhead squadron. Infamous for being the sole survivor of every squadron he's been in, he insists on shouldering the names and wishes of his fallen comrades. When the fates of these young souls from two different worlds collide, will it ignite the spark that lights their path to salvation, or will they burn themselves in the flames of despair?

[Written by MAL Rewrite]",86 Eighty-Six,TV,11,Finished Airing,"Apr 11, 2021 to Jun 20, 2021",Spring 2021,Sundays at 00:00 (JST),"Aniplex, Kadokawa, Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"ActionAction, DramaDrama, Sci-FiSci-Fi",,23 min. per ep.,R - 17+ (violence & profanity)
7.85,1324,897,180,"After succeeding in their winter conflict against Taiju Shiba and his Black Dragons, the Tokyo Manji Gang absorbs their group's remaining members. Due to his heroic courage and indomitable spirit, Takemichi Hanagaki should have accomplished his goal of defeating the tragic fate awaiting his girlfriend, Hinata Tachibana.

In reality, Takemichi's troubles are far from over. Although Takemichi's actions have exposed Tetta Kisaki's treachery, the conniving schemer has found power elsewhere: Tenjiku, a dangerous gang led by the enigmatic Izana Kurokawa. Izana sets his sights on Manjirou ""Mikey"" Sano, pursuing a vicious interest in the Tokyo Manji Gang's aloof leader.

In the future, Takemichi discovers that the machinations of Izana and Kisaki led to Mikey's moral ruin—a downfall that directly results in Hinata's death. Unfortunately, a terrible loss robs Takemichi of his time-leaping ability, stranding him in the past with one final chance to rescue everyone he loves.

[Written by MAL Rewrite]",,TV,13,Finished Airing,"Oct 4, 2023 to Dec 27, 2023",Fall 2023,Wednesdays at 00:00 (JST),"Mainichi Broadcasting System, Pony Canyon, Kodansha, AT-X, Ultra Super Pictures, Studio Mausu, Sammy","None found, add some",LIDENFILMS,Manga,"ActionAction, DramaDrama, SupernaturalSupernatural",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity)
7.93,106,734,1,"Takemichi Hanagaki's second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he's a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang's cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day 12 years ago, when he was still dating Hinata Tachibana.

After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata's younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he is not dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend's tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future.

[Written by MAL Rewrite]",Tokyo Revengers,TV,24,Finished Airing,"Apr 11, 2021 to Sep 19, 2021",Spring 2021,Sundays at 02:08 (JST),"Mainichi Broadcasting System, Pony Canyon, Kodansha, AT-X, Ultra Super Pictures, Studio Mausu, Sammy","None found, add some",LIDENFILMS,Manga,"ActionAction, DramaDrama, SupernaturalSupernatural",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity)
7.93,703,744,335,"Mafia is rife in America where assassinations are a regular occurrence on the streets. Inferno, a mysterious company, is behind most of these dealings through the use of their near-invincible human weapon, ""Phantom.""

One day, a Japanese tourist accidentally witnesses Phantom's latest murder. Desperate to escape, the tourist hides in a secluded building. However, Phantom, revealed to be a young woman named Ein, and the leader of Inferno ""Scythe Master"" captures the tourist and brainwashes him.

Given the name ""Zwei,"" this once peaceful tourist is now a puppet of Inferno with no memories. Drawn into a world of lies, deceit, and violence, Zwei must fight to survive, hopefully to one day regain his memories and escape from this world where he is constantly on the brink of death.

[Written by MAL Rewrite]",Phantom: Requiem for the Phantom,TV,26,Finished Airing,"Apr 3, 2009 to Sep 25, 2009",Spring 2009,Fridays at 02:15 (JST),"Genco, Media Factory",Funimation,Bee Train,Visual novel,"ActionAction, DramaDrama, SuspenseSuspense",,24 min. per ep.,R+ - Mild Nudity
8.51,12,126,2,"For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.

In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.

[Written by MAL Rewrite]",Attack on Titan Season 2,TV,12,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",Spring 2017,Saturdays at 22:00 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"ActionAction, DramaDrama, SuspenseSuspense",ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity)
9.05,21,5,2,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"ActionAction, DramaDrama, SuspenseSuspense",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity)
7.83,277,931,723,"As a child living in the town of Lawless, Angelo Lagusa has witnessed a tragedy: his parents and younger brother have been mercilessly slaughtered by the Vanetti mafia family. Losing everything he holds dear, he leaves both his name and hometown behind, adopting the new identity of Avilio Bruno.

Seven years later, Avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to Lawless. Obliging, he soon encounters the Vanetti don's son, Nero, and seeks to befriend him using the skills he has quietly honed for years.

Set during the Prohibition era, 91 Days tells the story of Avilio's dark, bloodstained path to vengeance, as he slowly ends each of the men involved in the killing of his family.

[Written by MAL Rewrite]",91 Days,TV,12,Finished Airing,"Jul 9, 2016 to Oct 1, 2016",Summer 2016,Saturdays at 01:55 (JST),"Shochiku, Mainichi Broadcasting System, Shochiku Music Publishing","Funimation, Crunchyroll",Shuka,Original,"ActionAction, DramaDrama, SuspenseSuspense",,24 min. per ep.,R - 17+ (violence & profanity)
8.62,18,83,2,"Still threatened by the ""Titans"" that rob them of their freedom, mankind remains caged inside the two remaining walls. Efforts to eradicate these monsters continue; however, threats arise not only from the Titans beyond the walls, but from the humans within them as well.

After being rescued from the Colossal and Armored Titans, Eren Yaeger devotes himself to improving his Titan form. Krista Lenz struggles to accept the loss of her friend, Captain Levi chooses Eren and his friends to form his new personal squad, and Commander Erwin Smith recovers from his injuries. All seems well for the soldiers, until the government suddenly demands custody of Eren and Krista. The Survey Corps' recent successes have drawn attention, and a familiar face from Levi's past is sent to collect the wanted soldiers. Sought after by the government, Levi and his new squad must evade their adversaries in hopes of keeping Eren and Krista safe.

Eren and his fellow soldiers are not only fighting for their survival against the terrifying Titans, but also against the terror of a far more conniving foe: their fellow humans.

[Written by MAL Rewrite]",Attack on Titan Season 3,TV,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018",Summer 2018,Mondays at 00:35 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"ActionAction, DramaDrama, SuspenseSuspense",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity)
8.79,35,35,1,"Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.

Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.

In Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.

[Written by MAL Rewrite]",Attack on Titan: Final Season,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,MAPPA,Manga,"ActionAction, DramaDrama, SuspenseSuspense",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity)
8.76,102,42,1,"Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.

Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.

Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.

[Written by MAL Rewrite]
",Attack on Titan: Final Season Part 2,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,Mondays at 00:05 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",Funimation,MAPPA,Manga,"ActionAction, DramaDrama, SuspenseSuspense",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity)
8.46,291,149,689,"One fateful day, Yuusuke Urameshi, a 14-year-old delinquent with a dim future, gets a miraculous chance to turn it all around when he throws himself in front of a moving car to save a young boy. His ultimate sacrifice is so out of character that the authorities of the spirit realm are not yet prepared to let him pass on. Koenma, heir to the throne of the spirit realm, offers Yuusuke an opportunity to regain his life through completion of a series of tasks. With the guidance of the death god Botan, he is to thwart evil presences on Earth as a Spirit Detective.

To help him on his venture, Yuusuke enlists ex-rival Kazuma Kuwabara, and two demons, Hiei and Kurama, who have criminal pasts. Together, they train and battle against enemies who would threaten humanity's very existence.

[Written by MAL Rewrite]",Yu Yu Hakusho: Ghost Files,TV,112,Finished Airing,"Oct 10, 1992 to Jan 7, 1995",Fall 1992,Unknown,"Yomiko Advertising, Fuji TV",Funimation,Pierrot,Manga,"ActionAction, FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
8.15,82,439,1,"Yato and Yukine have finally mended their relationship as god and Regalia. As a minor and unknown deity, Yato continues to take odd jobs for five yen apiece in hopes of one day having millions of worshippers and his own grand shrine. He has yet to fix Hiyori Iki's loose soul, but she cheerily prepares for high school nonetheless.

While things are seemingly back to normal, the complicated history between Yato and Bishamon—goddess of war and warriors—resurfaces. Bishamon holds a mysterious old grudge against Yato, which results in violent clashes between them. To further complicate matters, Bishamon's most trusted Regalia, Kazuma, is indebted to Yato. When lives are on the line, unraveling these secrets is possibly the only way to correct mistakes of the past.

[Written by MAL Rewrite]
",Noragami Aragoto,TV,13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",Fall 2015,Saturdays at 01:05 (JST),"Dentsu, Shochiku, Kodansha, Ai Addiction Inc., Avex Pictures, A-Sketch",Funimation,Bones,Manga,"ActionAction, FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
8.37,261,201,750,"A mysterious string of disappearances on a certain train has caught the attention of the Demon Slayer Corps, and they have sent one of their best to exterminate what can only be a demon responsible. However, the plan to board the Mugen Train is delayed by a lesser demon who is terrorizing the mechanics and targeting a kind, elderly woman and her granddaughter. Kyoujurou Rengoku, the Flame Hashira, must eliminate the threat before boarding the train.

Sent to assist the Hashira, Tanjirou Kamado, Inosuke Hashira, and Zenitsu Agatsuma enter the train prepared to fight. But their monstrous target already has a devious plan in store for them and the two hundred passengers: by delving deep into their consciousness, the demon intends to obliterate everyone in a stunning display of the power held by the Twelve Kizuki. 

[Written by MAL Rewrite]",Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,TV,7,Finished Airing,"Oct 10, 2021 to Nov 28, 2021",Fall 2021,Sundays at 23:15 (JST),"Aniplex, Shueisha","None found, add some",ufotable,Manga,"ActionAction, FantasyFantasy",ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity)
